animal_type,animal_breed,intake_type,outcome,intake_day,intake_month,intake_season,intake_is_weekend
DOGS,DOBERMAN PINSCH,STRAY,LIVE,SATURDAY,AUGUST,SUMMER,True
DOGS,BOXER,TRANSFER,LIVE,FRIDAY,FEBRUARY,WINTER,False
DOGS,SIBERIAN HUSKY,TRANSFER,LIVE,SATURDAY,AUGUST,SUMMER,True
DOGS,BICHON FRISE,STRAY,LIVE,THURSDAY,JANUARY,WINTER,False
DOGS,PLOTT HOUND,OWNER SUR,LIVE,THURSDAY,FEBRUARY,WINTER,False
DOGS,AUST CATTLE DOG,STRAY,LIVE,WEDNESDAY,JULY,SUMMER,False
DOGS,LHASA APSO,STRAY,LIVE,SATURDAY,MARCH,SPRING,True
DOGS,LABRADOR RETR,TRANS_INT,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,GERM SHEPHERD,TRANS_INT,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
CATS,DOMESTIC SH,STRAY,LIVE,SATURDAY,JUNE,SUMMER,True
DOGS,AUST SHEPHERD,STRAY,LIVE,SATURDAY,AUGUST,SUMMER,True
DOGS,GERM SHEPHERD,TRANSFER,LIVE,TUESDAY,NOVEMBER,FALL,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,MONDAY,JULY,SUMMER,False
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,FEBRUARY,WINTER,False
DOGS,PIT BULL,RETURN,LIVE,MONDAY,MARCH,SPRING,False
DOGS,PIT BULL,OWNER SUR,NONLIVE,SATURDAY,JUNE,SUMMER,True
DOGS,PIT BULL,OWNER SUR,NONLIVE,SATURDAY,JUNE,SUMMER,True
CATS,DOMESTIC SH,TRANS_INT,LIVE,WEDNESDAY,MAY,SPRING,False
DOGS,CHINESE SHARPEI,STRAY,LIVE,WEDNESDAY,JANUARY,WINTER,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,SATURDAY,JUNE,SUMMER,True
DOGS,CAVALIER SPAN,STRAY,LIVE,MONDAY,JULY,SUMMER,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SUNDAY,MARCH,SPRING,True
DOGS,PIT BULL,TRANSFER,LIVE,MONDAY,JULY,SUMMER,False
DOGS,AUST CATTLE DOG,STRAY,LIVE,SUNDAY,OCTOBER,FALL,True
DOGS,LABRADOR RETR,STRAY,LIVE,SATURDAY,OCTOBER,FALL,True
DOGS,DOBERMAN PINSCH,STRAY,LIVE,WEDNESDAY,JULY,SUMMER,False
DOGS,DOBERMAN PINSCH,STRAY,LIVE,SUNDAY,MAY,SPRING,True
DOGS,DOBERMAN PINSCH,STRAY,LIVE,SUNDAY,JULY,SUMMER,True
